项目,湖州市天元颐城尚座1幢连家巷路72号,3,"5,986"
唐山分行,唐山市路北区新华西道31号,5,"5,645"
兰州分行,兰州市城关区雁滩路4286号,3,"5,473"
绵阳分行,绵阳市高新区火炬西街北段116号,2,"5,258"
天津自由贸易试验区,天津市天津自贸区（空港经济区）西四路168号融,,
,,1,"5,201"
分行,和广场1号楼,,
荆州分行,荆州市沙市区北京路凤台大厦,5,"5,165"
乐山分行,乐山市市中区春华路南段358号,4,"4,999"
洛阳分行,洛阳市洛龙区滨河南路55号,3,"4,952"
徐州分行,徐州市西安北路2号,2,"4,870"
广东自贸试验区南沙,,,
,广州市南沙区丰泽东路106号,1,"4,773"
分行,,,
,柳州市文昌路 17 号华润中心万象城一层 1-17 至,,
柳州分行,,1,"4,440"
,1-19号,,
襄阳分行,襄阳市春园西路10号,4,"4,267"
镇江分行,镇江市润州区何家湾路8号瑞香苑9号楼,1,"4,144"
重庆自由贸易试验区,,,
,重庆市渝北区财富大道1号,1,"4,044"
分行,,,
廊坊分行,廊坊市广阳区爱民东道新世界中心办公楼F4层,3,"3,992"
盐城分行,盐城市世纪大道611号凤凰文化广场,2,"3,966"
,芜湖市镜湖区北京中路与九华中路交口伟星时代,,
芜湖分行,,3,"3,716"
,金融中心裙楼一至二层,,
横琴粤澳深度合作区,珠海市横琴新区环岛东路 3018 号横琴国际商务中,,
,,1,"3,337"
分行,心一期2座,,
宜昌分行,宜昌市伍家岗区夷陵大道179号中兴广场,3,"3,273"
,沧州市运河区上海路与吉林大道路口西南角天驰,,
沧州分行,,2,"3,169"
,国际商务办公楼,,
莆田分行,莆田市荔城区镇海街道梅园东路521号101室,2,"2,914"
济宁分行,济宁市洸河路与共青团路十字路口汇汲中心,2,"2,906"
泰安分行,泰安市泰山区东岳大街286-1号,2,"2,883"
威海分行,威海市青岛北路75号,3,"2,873"
赣州分行,赣州市新赣州18号阳明国际中心9号楼,3,"2,822"
南阳分行,南阳市卧龙区中州路与永安路交叉口万达国际,2,"2,812"
,保定市竞秀区朝阳北大街588号金冠大厦办公商业,,
保定分行,,2,"2,737"
,综合楼,,
淄博分行,淄博市高新区中润大道1号中润综合楼,3,"2,684"
开封分行,开封市金明大道169号,2,"2,610"
扬州分行,扬州市江阳中路447号,3,"2,535"
福建自贸试验区福州,,,
,福州市马尾区马尾镇江滨东大道68-1号,1,"2,406"
片区分行,,,
