项目,2023年12月31日,2022年12月31日
财务报表附注(续),,
现金,"3,687","4,162"
现金等价物：,,
原始到期日不超过三个月的,,
存放同业款项,"62,569","77,877"
拆出资金,"80,373","58,175"
买入返售金融资产,"106,552","38,984"
存放中央银行超额存款准备金,"43,432","40,450"
债券投资(从购买日起三个月内到期),"1,606","2,678"
小计,"294,532","218,164"
合计,"298,219","222,326"
,本行,
,2023年12月31日,2022年12月31日
现金,"3,687","4,162"
现金等价物：,,
原始到期日不超过三个月的,,
存放同业款项,"62,302","77,167"
拆出资金,"80,373","58,175"
买入返售金融资产,"105,901","38,984"
存放中央银行超额存款准备金,"43,432","40,450"
债券投资(从购买日起三个月内到期),"1,606","2,678"
小计,"293,614","217,454"
合计,"297,301","221,616"
