项目,列2,列3
财务报表附注(续),,
投资收益,,
,本集团,
,2023年度,2022年度
衍生金融工具(不含外汇衍生金融工具)净收益,"1,321","1,972"
以公允价值计量且其变动计入其他综合收益的发放贷,,
款和垫款价差收益,"2,403","3,255"
以摊余成本计量的发放贷款和垫款价差收益,"1,160",
交易性金融工具的利息收入、价差收益及分红收入,"11,953","9,613"
其他债权投资的价差损益,297,"(1,372)"
其他净损益,"(79,385)",
合计,"16,054","13,243"
,本行,
,2023年度,2022年度
衍生金融工具(不含外汇衍生金融工具)净收益,"1,321","1,972"
以公允价值计量且其变动计入其他综合收益的发放贷,,
款和垫款价差收益,"2,403","3,255"
以摊余成本计量的发放贷款和垫款价差收益,"1,160",
交易性金融工具的利息收入、价差收益及分红收入,"11,859","9,426"
其他债权投资的价差损益,296,"(1,377)"
其他净损益,"(79,385)",
合计,"15,959","13,051"
