项目,2023年,列3,2022年,列5
MGM模式综合金融关键指标（部分）,,,,
项目,,,,
,综合金融贡献,综合金融占比,综合金融贡献,综合金融占比
新获客户数（万户）,305.82,36.9%,418.83,39.3%
财富客户净增户数（万户）,6.78,60.4%,7.66,46.3%
私行客户净增户数（万户）,0.58,59.8%,0.55,50.9%
管理零售客户资产（AUM）净增额,"258,876",58.3%,"218,251",53.9%
汽车金融贷款发放额,"39,764",21.2%,"48,520",20.8%
信用卡新增发卡量（万张）,137.54,21.6%,207.01,26.4%
