项目,列2,列3
,贷款余额,占本行资本净额比
借款人A,"14,189",2.58%
借款人B,"8,230",1.50%
借款人C,"7,694",1.40%
借款人D,"7,616",1.39%
借款人E,"7,238",1.32%
借款人F,"5,642",1.03%
借款人G,"5,017",0.91%
借款人H,"5,009",0.91%
借款人I,"4,966",0.91%
借款人J,"4,522",0.82%
合计,"70,123",12.77%
