项目,2023年12月31日,列3,列4,2022年12月31日,列6,列7,不良率增减
,余额,占比,不良率,余额,占比,不良率,
企业贷款,"1,429,790",42.0%,0.63%,"1,281,771",38.5%,0.61%,+0.02个百分点
其中：一般企业贷款,"1,214,991",35.7%,0.74%,"1,084,224",32.6%,0.72%,+0.02个百分点
贴现,"214,799",6.3%,-,"197,547",5.9%,-,-
个人贷款（注）,"1,977,719",58.0%,1.37%,"2,047,390",61.5%,1.32%,+0.05个百分点
其中：住房按揭贷款,"303,568",8.9%,0.30%,"284,443",8.5%,0.28%,+0.02个百分点
信用卡应收账款,"514,092",15.1%,2.77%,"578,691",17.4%,2.68%,+0.09个百分点
消费性贷款,"545,291",16.0%,1.23%,"602,247",18.1%,1.08%,+0.15个百分点
经营性贷款,"614,768",18.0%,0.83%,"582,009",17.5%,0.74%,+0.09个百分点
发放贷款和垫款本金总额,"3,407,509",100.0%,1.06%,"3,329,161",100.0%,1.05%,+0.01个百分点
