项目,列2,列3,列4,列5
,利息收入/,平均收益/,,利息收入/
日均余额,,,日均余额,
,支出,成本率,,支出
"3,387,714","183,849",5.43%,"3,190,601","188,344"
"1,002,270","31,148",3.11%,"1,022,351","32,024"
"250,380","3,844",1.54%,"249,879","3,715"
"325,699","8,776",2.69%,"276,107","4,795"
"4,966,063","227,617",4.58%,"4,738,938","228,878"
"3,437,377","75,542",2.20%,"3,205,027","66,974"
"662,372","17,038",2.57%,"726,966","19,470"
"738,980","17,046",2.31%,"633,752","12,304"
"4,838,729","109,626",2.27%,"4,565,745","98,748"
,"117,991",,,"130,130"
,,3.23%,,
,,2.31%,,
,,2.38%,,
