项目,列2,列3,2022年12月31日,列5,列6
余额,占比,不良率,余额,占比,不良率
"1,429,790",42.0%,0.63%,"1,281,771",38.5%,0.61%
"1,214,991",35.7%,0.74%,"1,084,224",32.6%,0.72%
"214,799",6.3%,-,"197,547",5.9%,-
"1,977,719",58.0%,1.37%,"2,047,390",61.5%,1.32%
"303,568",8.9%,0.30%,"284,443",8.5%,0.28%
"514,092",15.1%,2.77%,"578,691",17.4%,2.68%
"545,291",16.0%,1.23%,"602,247",18.1%,1.08%
"614,768",18.0%,0.83%,"582,009",17.5%,0.74%
"3,407,509",100.0%,1.06%,"3,329,161",100.0%,1.05%
