项目,"湖州市天元颐城尚座1幢连家巷路
唐山市路北区新华西道31号
兰州市城关区雁滩路4286号
绵阳市高新区火炬西街北段116号
天津市天津自贸区（空港经济区）
和广场1号楼
荆州市沙市区北京路凤台大厦
乐山市市中区春华路南段358号
洛阳市洛龙区滨河南路55号
徐州市西安北路2号
广州市南沙区丰泽东路106号
柳州市文昌路17号华润中心万象
1-19号
襄阳市春园西路10号
镇江市润州区何家湾路8号瑞香苑
重庆市渝北区财富大道1号
廊坊市广阳区爱民东道新世界中心
盐城市世纪大道611号凤凰文化广","72号
西四路168号融
城一层1-17至
9号楼
办公楼F4层
场","3
5
3
2
1
5
4
3
2
1
1
4
1
1
3
2","5,986
5,645
5,473
5,258
5,201
5,165
4,999
4,952
4,870
4,773
4,440
4,267
4,144
4,044
3,992
3,966","58
84
134
35
36
58
42
71
80
25
37
61
47
8
54
71"
芜湖分行,芜湖市镜湖区北京中路与九华中,路交口伟星时代,3,"3,716",56
横琴粤澳深度合作区,金融中心裙楼一至二层,横琴国际商务中,1,"3,337",10
分行,珠海市横琴新区环岛东路3018号,兴广场,3,"3,273",42
宜昌分行,心一期2座,路口西南角天驰,2,"3,169",48
沧州分行,宜昌市伍家岗区夷陵大道179号中,21号101室,2,"2,914",38
莆田分行,沧州市运河区上海路与吉林大道,汇汲中心,2,"2,906",43
济宁分行,国际商务办公楼,9号楼,2,"2,883",44
泰安分行,莆田市荔城区镇海街道梅园东路5,口万达国际,3,"2,873",43
威海分行,济宁市洸河路与共青团路十字路口,冠大厦办公商业,3,"2,822",55
赣州分行,泰安市泰山区东岳大街286-1号,合楼,2,"2,812",38
南阳分行,威海市青岛北路75号,8-1号,2,"2,737",51
保定分行,赣州市新赣州18号阳明国际中心,,3,"2,684",61
淄博分行,南阳市卧龙区中州路与永安路交叉,,2,"2,610",34
开封分行,保定市竞秀区朝阳北大街588号金,,3,"2,535",64
扬州分行,综合楼,,1,"2,406",5
福建自贸试验区福州,淄博市高新区中润大道1号中润综,,,,
片区分行,开封市金明大道169号,,,,
,扬州市江阳中路447号,,,,
,福州市马尾区马尾镇江滨东大道6,,,,
