项目,附注四,2023年度,2022年度
合并现金流量表,,,
经营活动产生的现金流量,,,
存放中央银行和同业款项净减少额,,"4,198",-
向中央银行借款净增加额,,"16,665","43,317"
吸收存款和同业存放款项净增加额,,"142,603","411,157"
拆入资金净增加额,,-,"14,710"
卖出回购金融资产款净增加额,,"44,673",-
收取利息、手续费及佣金的现金,,"251,564","248,891"
为交易目的而持有的金融资产净减少额,,"44,363",-
收到其他与经营活动有关的现金,50,"24,969","53,676"
经营活动现金流入小计,,"529,035","771,751"
存放中央银行和同业款项净增加额,,-,"(21,405)"
发放贷款和垫款净增加额,,"(163,664)","(332,903)"
拆出资金净增加额,,"(62,701)","(52,697)"
拆入资金净减少额,,"(8,123)",-
买入返售金融资产净增加额,,"(1,470)","(2,018)"
为交易目的而持有的金融资产净增加额,,-,"(45,987)"
卖出回购金融资产款净减少额,,-,"(34,333)"
支付利息、手续费及佣金的现金,,"(81,298)","(74,373)"
支付给职工及为职工支付的现金,,"(22,346)","(21,741)"
支付的各项税费,,"(32,000)","(27,713)"
支付其他与经营活动有关的现金,51,"(64,972)","(24,009)"
经营活动现金流出小计,,"(436,574)","(637,179)"
经营活动产生的现金流量净额,,"92,461","134,572"
