项目,列2,列3,2022,年度,列6,列7,列8
财务报表附注(续),,,,,,,
年初余额,本年净增加/,拨备新增/,,三阶段变动,第二阶段,本年核销,年末余额
年初余额,(减少)(注1),(冲回)(注2),,三阶段变动,至第三阶段,本年核销,年末余额
年初余额,,,,三阶段变动,净转入/(转出),本年核销,年末余额
,,,第一阶段,第一阶段,,,
,,,至第二阶段,至第三阶段,,,
,,,净转入/(转出),净转入/(转出),,,
"53,285","20,225","(11,847)","(5,185)",53,"(23,044)","(59,802)","56,531"
"10,088","(1,117)","26,245","5,185",(53),"23,044","(59,802)","17,357"
"26,829","2,631","34,659",,,,"(59,802)","27,308"
"90,202","21,739","49,057",-,-,-,"(59,802)","101,196"
"2,737",740,"2,093",111,,(16),,"5,681"
877,"(89,202)",,(111),,16,,863
"7,496",104,"2,227",,,,,"9,843"
"11,110",755,"4,522",-,-,-,-,"16,387"
858,"(217,169)",,15,,(19),,921
187,"(33,107)",,(15),,19,,227
38,"(37,171)",,,,,,191
"1,083","147,109",,-,-,-,-,"1,339"
