常用指标,每股净资产,45.380747,45.477839,45.551462,44.162236,43.556517,44.015984,44.461111,43.055818,41.928718,41.370383,41.216247,39.821047,38.389035,37.537422,37.357949,20.756607,19.937431,19.286234,19.178712,14.869816,13.566862,12.950846,12.568854,11.607137,11.249396,10.922664,9.219636,8.807634,8.465984,8.215575,8.089768,7.838679,7.54554,7.381199,7.356993,6.199787,5.890833,5.73205,,5.104884,,4.312787,3.508669,2.86642,5.059488
常用指标,每股现金流,3.210817,-0.555487,2.295312,7.173153,5.411922,1.735876,3.229384,6.667892,4.097983,0.90632,2.473459,4.797999,2.807034,0.761694,1.571257,2.201923,1.376789,0.227896,0.356052,2.809287,2.42544,0.606151,0.130182,2.439208,1.586931,0.388291,0.328066,1.369426,0.164073,0.115082,0.693963,1.642036,0.562473,0.057009,0.08122,1.33719,0.225949,0.382273,,2.328459,,1.808225,0.886687,1.292238,0.666882
常用指标,净资产收益率(ROE),7.23,5.1,3.0,11.48,8.14,6.21,3.42,12.1,9.32,6.11,3.04,10.72,7.0,4.98,2.88,14.66,10.88,7.83,4.23,19.52,12.66,8.76,3.03,15.44,10.34,7.56,3.08,14.62,10.97,8.16,3.15,13.28,9.46,7.36,3.73,19.37,14.3,11.57,5.43,16.82,11.45,20.56,20.15,22.59,23.27
常用指标,总资产报酬率(ROA),6.700798,5.174763,3.050272,11.476775,8.267713,6.270029,3.340108,11.664123,8.885997,5.907979,2.906499,11.529616,7.379387,5.169302,2.280964,11.249231,8.27071,6.492617,3.18048,12.445144,8.244538,6.360484,2.20419,9.765617,6.735308,5.052769,1.946825,9.382473,7.363048,5.715698,2.119831,9.469777,6.776228,5.179458,2.141909,10.398581,8.025196,6.513115,,9.266472,,11.793648,11.989683,13.985199,11.416538
常用指标,毛利率,20.344263,20.521965,23.322639,23.297669,22.640596,23.909602,26.551488,23.20924,22.057197,22.100392,24.706098,21.956991,21.061168,21.858103,24.202759,22.119097,21.981888,24.052866,26.486007,25.680121,27.763202,28.507942,28.644934,25.763514,24.953475,25.476363,26.358924,26.512072,26.297733,26.637431,26.950961,26.267459,25.857865,26.561504,27.449929,27.120388,26.937682,27.406808,29.563181,27.08142,26.990085,27.407281,27.773853,28.212741,26.894773
常用指标,销售净利率,8.357968,8.877149,10.928922,10.006302,9.587821,10.817535,11.746944,10.688039,11.102186,10.883333,11.617132,9.172907,8.544675,8.71517,8.959179,7.407139,8.136149,8.934044,9.220694,8.66892,8.452528,9.111682,6.8677,7.088811,6.818149,7.072478,5.918624,6.345399,6.680593,7.309684,5.671847,5.810325,5.704559,6.311363,5.596823,5.92047,6.08772,7.059758,6.388103,5.011029,4.615004,5.868441,5.826024,6.813157,6.253972
常用指标,期间费用率,9.247456,8.95806,9.903375,10.026843,9.661634,9.296207,10.675203,9.359579,8.396204,8.322413,10.126798,10.118011,10.509739,11.49811,13.886697,13.552679,13.451597,13.237914,15.250339,14.613504,17.378923,17.39833,20.381685,16.728449,16.300851,16.437626,18.451715,18.206949,17.732454,17.563192,19.300254,18.512608,18.404414,18.30658,19.618482,19.199306,18.899481,18.260252,21.064159,21.011217,20.649903,19.418028,19.838451,18.95275,18.641719
常用指标,资产负债率,23.911009,20.239506,18.698574,23.624416,20.709314,20.979244,23.210869,25.431998,24.953345,23.700329,24.977199,26.52024,25.533393,21.129683,22.285012,41.357729,40.130755,32.795869,35.609042,48.088449,48.58915,43.331616,44.233359,51.734863,47.217866,42.661939,53.77802,55.120203,51.026767,48.158513,49.526557,47.908748,44.702222,45.100089,50.21684,59.46998,56.173321,55.317451,,60.893784,,59.891393,58.21621,55.558348,53.247173
每股指标,基本每股收益,3.15,2.31,1.35,5.08,3.58,2.75,1.5,5.04,3.83,2.51,1.24,3.89,2.46,1.64,0.8,2.84,2.06,1.45,0.74,2.61,1.63,1.12,0.38,1.67,1.07,0.76,0.3,1.25,0.91,0.66,0.25,0.98,0.68,0.52,0.25,1.09,0.79,0.63,0.29,0.79,0.52,0.8,0.64,0.58,0.45
每股指标,稀释每股收益,3.15,2.31,1.35,5.08,3.58,2.75,1.5,5.04,3.82,2.51,1.23,3.87,2.44,1.64,0.79,2.8,2.03,1.43,0.71,2.54,1.61,1.12,0.38,1.62,1.04,0.73,0.29,1.24,0.9,0.66,0.25,0.98,0.68,0.52,0.25,1.09,0.79,0.63,0.29,0.79,0.52,0.8,0.64,0.58,0.45
每股指标,摊薄每股收益_最新股数,2.84803,2.02809,1.18373,4.455087,3.141634,2.40826,1.315398,4.434789,3.36551,2.205907,1.084923,3.303529,2.068637,1.360492,0.613151,2.04716,1.481606,1.043746,0.521145,1.811642,1.137501,0.77989,0.263428,1.12018,0.714652,0.495603,0.19465,0.810876,0.589417,0.4271,0.162757,0.607378,0.417363,0.310836,0.135039,0.532292,0.382092,0.304899,0.138566,0.385081,0.254701,0.390925,0.312232,0.283545,0.214451
每股指标,摊薄每股净资产_期末股数,45.380747,45.477839,45.551462,44.162236,43.556517,44.015984,44.461111,43.055818,41.928718,41.370383,41.216247,39.821047,38.389035,37.537422,37.357949,20.756607,19.937431,19.286234,19.178712,14.869816,13.566862,12.950846,12.568854,11.607137,11.249396,10.922664,9.219636,8.807634,8.465984,8.215575,8.089768,7.838679,7.54554,7.381199,7.356993,6.199787,5.890833,5.73205,,5.104884,,4.312787,3.508669,2.86642,5.059488
每股指标,调整每股净资产_期末股数,39.376017,40.143681,40.02644,38.592953,37.989374,38.423443,38.614421,37.423937,36.358539,35.83357,35.461401,33.880815,32.612296,33.665409,33.483737,15.989518,15.39707,17.668054,17.561813,13.219736,12.559809,12.014745,11.663946,10.671085,10.324585,10.009611,8.464353,8.072423,7.786408,7.565244,7.400603,7.243755,6.946623,6.802841,6.823913,5.502462,5.174769,5.130814,,4.507138,,3.701421,2.919553,2.385105,4.280119
