项目,"1,116,580.86",5.39%,"99,993.76",0.39%
2至3年,"2,100.00",0.01%,"345,265.07",1.36%
3年以上,"151,503.46",0.73%,"328,495.83",1.30%
合计,"20,707,636.24 --",,"25,363,026.01 --",
账龄超过1年且金额重要的预付款,项未及时结算原因的说明：,"总金额11,15","7,219.09元，占预付款项",期
（2）按预付对象归集的期末余,额前五名的预付款情况,"总金额11,15",单位：,元
本期按预付对象归集的期,末余额前五名预付款项汇,"总金额11,15",,
末余额合计数的比例53.88,%。,"总金额11,15",,
其他说明：,,"总金额11,15",,
8、其他应收款,,"总金额11,15",,
项目,期末余额,,期初余额,
其他应收款,,"99,794,046.44","54,279,",480.65
合计,,"99,794,046.44","54,279,",480.65
（1）应收利息,,,单位：,元
1）应收利息分类,,,单位：,元
项目,期末余额,,期初余额,
2）重要逾期利息,末余额 逾期时间,逾,单位：,元
借款单位 期,末余额 逾期时间,逾,是否发生减值及其,判断
,末余额 逾期时间,逾,期原因,
