date,股票代码,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,MA5,MA10,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower
2020-01-02,002216,117.3,115.78,117.3,114.58,76108,107547405.0,2.33,-0.96,-1.12,1.35,,,,,,0.0,0.0,0.0,,,
2020-01-03,002216,115.3,113.62,115.3,111.62,85452,118060247.0,3.18,-1.87,-2.16,1.51,,,,,,-0.17230769230769738,-0.03446153846153948,-0.1378461538461579,,,
2020-01-06,002216,112.26,114.9,117.7,111.7,113955,161327258.0,5.28,1.13,1.28,2.02,,,,,,-0.20323471400394055,-0.0682161735700197,-0.13501854043392086,,,
2020-01-07,002216,114.98,115.14,115.94,113.86,54035,75962156.0,1.81,0.21,0.24,0.96,,,,,,-0.20600392229582098,-0.09577372331517997,-0.11023019898064101,,,
2020-01-08,002216,115.3,118.18,118.82,113.46,99243,141595171.0,4.66,2.64,3.04,1.76,115.524,,,,,0.03668121562131432,-0.06928273552788111,0.10596395114919543,,,
2020-01-09,002216,117.7,119.7,120.66,116.74,71275,103679316.0,3.32,1.29,1.52,1.26,116.30800000000002,,,,,0.3476546858912002,0.014104748755935141,0.33354993713526504,,,
2020-01-10,002216,119.7,117.46,120.9,116.26,43757,62953539.0,3.88,-1.87,-2.24,0.77,117.076,,,,,0.40864353369931905,0.09301250574461194,0.3156310279547071,,,
2020-01-13,002216,116.66,120.9,121.7,116.02,69228,101055089.0,4.84,2.93,3.44,1.22,118.276,,,,,0.7261858670680965,0.21964717800930886,0.5065386890587876,,,
2020-01-14,002216,122.5,118.42,123.38,118.42,53551,78590005.0,4.1,-2.05,-2.48,0.95,118.93200000000002,,,,,0.7688622152394231,0.3294901854553317,0.4393720297840914,,,
2020-01-15,002216,118.18,119.3,120.74,115.54,50032,72403562.0,4.39,0.74,0.88,0.88,119.15599999999999,117.34,,,,0.8637355681914585,0.43633926200255707,0.4273963061889014,,,
2020-01-16,002216,119.3,125.3,126.34,117.7,81576,122873544.0,7.24,5.03,6.0,1.44,120.276,118.292,,,,1.406855880980757,0.6304425857981971,0.7764132951825599,,,
2020-01-17,002216,125.46,122.5,125.94,121.22,57416,86551810.0,3.77,-2.23,-2.8,1.02,121.28399999999999,119.17999999999999,,,,1.5929831245509263,0.822950693548743,0.7700324310021833,,,
2020-01-20,002216,120.66,120.58,122.1,117.78,56106,82323432.0,3.53,-1.57,-1.92,0.99,121.22,119.748,,,,1.5674932655298335,0.9718592079449611,0.5956340575848724,,,
2020-01-21,002216,120.58,115.22,120.58,114.58,63490,90615925.0,4.98,-4.45,-5.36,1.12,120.58,119.756,,,49.16067146282973,1.102081059567098,0.9979035782693886,0.10417748129770943,,,
2020-01-22,002216,113.7,113.3,114.26,110.02,55341,76031889.0,3.68,-1.67,-1.92,0.98,119.38,119.26799999999999,,,46.48526077097506,0.5717201453846883,0.9126668916924485,-0.34094674630776023,,,
2020-01-23,002216,112.1,110.82,115.46,108.1,74196,101601349.0,6.5,-2.19,-2.48,1.31,116.48400000000001,118.38000000000002,,,46.06741573033707,-0.04815487450620992,0.7205025384527168,-0.7686574129589268,,,
2020-02-03,002216,100.18,114.98,119.94,100.18,180119,250189912.0,17.83,3.75,4.16,3.18,114.97999999999999,118.13199999999999,,,50.1039501039501,-0.2014113160217903,0.5361197675578154,-0.7375310835796057,,,
2020-02-04,002216,115.46,122.34,123.14,112.42,156171,226685116.0,9.32,6.4,7.36,2.76,115.332,118.276,,,57.89473684210526,0.267933766164262,0.48248256727910477,-0.21454880111484276,,,
2020-02-05,002216,122.34,124.82,124.9,119.3,153671,228861715.0,4.58,2.03,2.48,2.72,117.252,118.91600000000001,,,57.37122557726464,0.8304356537326498,0.5520731845698138,0.278362469162836,,,
2020-02-06,002216,122.9,132.1,132.66,120.98,170905,268264685.0,9.36,5.83,7.28,3.02,121.01199999999999,120.196,118.768,,62.2047244094488,1.8424193473690593,0.810142417129663,1.0322769302393964,118.768,128.80416534025034,108.73183465974967
2020-02-07,002216,128.26,129.46,134.98,128.1,124662,199997748.0,5.21,-2.0,-2.64,2.2,124.74000000000001,120.612,119.452,,61.71875000000001,2.4036895421284186,1.1288518421294143,1.2748376999990043,119.452,130.44937308346144,108.45462691653856
2020-02-10,002216,130.5,126.5,134.34,124.9,133503,209986026.0,7.29,-2.29,-2.96,2.36,127.04400000000001,121.01199999999999,120.096,,55.52050473186119,2.579913318169204,1.4190641373373722,1.160849180831832,120.096,131.16366632559624,109.02833367440377
2020-02-11,002216,128.02,125.7,128.02,123.38,89102,136679605.0,3.67,-0.63,-0.8,1.58,127.71599999999998,121.524,120.636,,57.42251223491027,2.624761993777568,1.6602037086254113,0.9645582851521568,120.636,131.6900993110677,109.5819006889323
2020-02-12,002216,126.02,126.58,127.46,124.02,73279,113006392.0,2.74,0.7,0.88,1.3,128.068,122.66,121.208,,57.42251223491027,2.700187457644205,1.86820045842917,0.8319869992150348,121.208,132.24858274587086,110.16741725412915
2020-02-13,002216,126.66,123.46,127.14,122.5,65748,100019111.0,3.67,-2.46,-3.12,1.16,126.34,123.676,121.47200000000001,,48.00693240901213,2.4796212261135793,1.990484611966052,0.4891366141475273,121.47200000000001,132.4601038065336,110.48389619346642
2020-02-14,002216,122.5,122.1,124.02,120.1,83155,124117312.0,3.18,-1.1,-1.36,1.47,124.86799999999998,124.80400000000002,121.59199999999998,,49.55277280858676,2.170065104816217,2.0264007105360853,0.1436643942801319,121.59199999999998,132.5510041806534,110.63299581934656
2020-02-17,002216,122.1,126.42,127.7,122.02,99396,153140700.0,4.65,3.54,4.32,1.76,124.852,125.94800000000001,122.03999999999999,,56.196943972835314,2.247420678103836,2.070604704049636,0.17681597405420035,122.03999999999999,133.02032690530515,111.05967309469483
2020-02-18,002216,126.34,127.3,128.66,124.1,76811,119088544.0,3.61,0.7,0.88,1.36,125.172,126.444,122.36000000000001,,64.16510318949344,2.352614695031704,2.1270067022460495,0.2256079927856547,122.36000000000001,133.57104718335307,111.14895281664695
2020-02-19,002216,126.42,125.7,128.02,124.98,52389,80933286.0,2.39,-1.26,-1.6,0.93,124.99600000000001,126.532,122.724,,64.65028355387525,2.280585908350915,2.1577225434670226,0.12286336488389216,122.724,133.86895949320873,111.57904050679129
2020-02-20,002216,125.78,132.9,134.1,125.78,127732,205687214.0,6.62,5.73,7.2,2.26,126.88400000000001,126.612,123.404,,73.46938775510206,2.7725224896311857,2.2806825326998554,0.4918399569313303,123.404,135.30337884270037,111.50462115729962
